sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,RJ,202501,6575900,0206030010,166.0,23012.58
SIA,RJ,202501,2280183,0206030037,1435.0,198934.05
SIA,RJ,202501,2280183,0206020031,669.0,91258.29
SIA,RJ,202501,2280183,0206020023,272.0,23596.0
SIA,RJ,202501,2280183,0206030010,1369.0,189784.47
SIA,RJ,202501,6927289,0206020031,77.0,10503.57
SIA,RJ,202501,6927289,0206030010,71.0,9842.73
SIA,RJ,202501,6927289,0206010028,63.0,6369.3
SIA,RJ,202501,7101856,0211020036,520.0,2678.0
SIA,RJ,202501,6716849,0211020036,174.0,896.1
SIA,RJ,202501,7584342,0206010079,44.0,4287.36
SIA,RJ,202501,2270609,0206030010,542.0,75137.46
SIA,RJ,202501,2270609,0206030037,511.0,70839.93
SIA,RJ,202501,2270609,0206010079,861.0,83895.84
SIA,RJ,202501,6575900,0206020031,176.0,24008.16
SIA,RJ,202501,6575900,0206010079,193.0,18805.92
SIA,RJ,202501,2273454,0206030010,318.0,44084.34
SIA,RJ,202501,6575900,0211020036,609.0,3136.35
SIA,RJ,202501,2273454,0206020031,340.0,46379.4
SIA,RJ,202501,2280183,0206010028,174.0,17591.4
SIA,RJ,202501,2280183,0206010079,1288.0,125502.72
SIA,RJ,202501,2298120,0206010079,403.0,39268.32
SIA,RJ,202501,2298120,0206030010,230.0,31884.9
SIA,RJ,202501,2298120,0211020036,492.0,2533.8
SIA,RJ,202501,2291266,0211020036,714.0,3677.1
SIA,RJ,202501,2291266,0206010079,341.0,33227.04
SIA,RJ,202501,2291266,0206030010,318.0,44084.34
SIA,RJ,202501,6575900,0206010028,93.0,9402.3
SIA,RJ,202501,6575900,0206030037,177.0,24537.51
SIA,RJ,202501,6575900,0206020023,93.0,8067.75
SIA,RJ,202501,6575900,0206010010,33.0,2863.08
SIA,RJ,202501,0932280,0211020036,554.0,2853.1
SIA,RJ,202501,2273454,0206030037,304.0,42143.52
SIA,RJ,202501,2280183,0211020036,170.0,875.5
SIA,RJ,202501,2270609,0206020031,470.0,64112.7
SIA,RJ,202501,2298120,0206020031,154.0,21007.14
SIA,RJ,202501,2270609,0206010044,233.0,20212.75
SIA,RJ,202501,2270609,0206030029,53.0,4597.75
SIA,RJ,202501,2280183,0206010044,337.0,29234.75
SIA,RJ,202501,2280183,0206010010,151.0,13100.76
SIA,RJ,202501,6927289,0206020023,69.0,5985.75
SIA,RJ,202501,6927289,0206030037,85.0,11783.55
SIA,RJ,202501,6927289,0206010079,39.0,3800.16
SIA,RJ,202501,2298120,0206010010,60.0,5205.6
SIA,RJ,202501,7584342,0206030010,43.0,5961.09
SIA,RJ,202501,2298120,0206020023,77.0,6679.75
SIA,RJ,202501,2269538,0211020036,52.0,267.8
SIA,RJ,202501,2270323,0211020036,89.0,458.35
SIA,RJ,202501,2273454,0206010044,48.0,4164.0
SIA,RJ,202501,2298120,0206030037,240.0,33271.2
SIA,RJ,202501,2270609,0206020015,12.0,1041.0
SIA,RJ,202501,2270366,0211020036,84.0,432.6
SIA,RJ,202501,2273276,0206010028,85.0,8593.5
SIA,RJ,202501,2273349,0211020036,149.0,767.35
SIA,RJ,202501,2269554,0206010079,505.0,49207.2
SIA,RJ,202501,2269554,0206010010,84.0,7287.84
SIA,RJ,202501,2269554,0206020031,214.0,29191.74
SIA,RJ,202501,7584342,0206010036,4.0,347.04
SIA,RJ,202501,2270609,0206010028,112.0,11323.2
SIA,RJ,202501,2269988,0211020036,78.0,401.7
SIA,RJ,202501,2298120,0206010044,110.0,9542.5
SIA,RJ,202501,2269554,0206030010,370.0,51293.1
SIA,RJ,202501,2269988,0206020031,75.0,10230.75
SIA,RJ,202501,2298120,0206020015,84.0,7287.0
SIA,RJ,202501,0215015,0206010036,11.0,954.36
SIA,RJ,202501,9016805,0211020036,70.0,360.5
SIA,RJ,202501,2269988,0206030037,94.0,13031.22
SIA,RJ,202501,2269988,0206030029,1.0,86.75
SIA,RJ,202501,2269554,0206010028,138.0,13951.8
SIA,RJ,202501,2273276,0206010010,36.0,3123.36
SIA,RJ,202501,0215015,0206030037,99.0,13724.37
SIA,RJ,202501,9792961,0206030010,49.0,6792.87
SIA,RJ,202501,2291266,0206010028,28.0,2830.8
SIA,RJ,202501,2269554,0211020036,110.0,566.5
SIA,RJ,202501,2269554,0206010044,94.0,8154.5
SIA,RJ,202501,0215015,0206030010,89.0,12338.07
SIA,RJ,202501,0215015,0206020031,114.0,15550.74
SIA,RJ,202501,7584342,0206030037,49.0,6792.87
SIA,RJ,202501,0215015,0206010028,59.0,5964.9
SIA,RJ,202501,2269554,0206020023,121.0,10496.75
SIA,RJ,202501,2280167,0206020031,161.0,21962.01
SIA,RJ,202501,2269554,0206030037,387.0,53649.81
SIA,RJ,202501,2970627,0208010025,101.0,41260.52
SIA,RJ,202501,2970627,0206030010,179.0,24814.77
SIA,RJ,202501,2970627,0208010033,102.0,39073.14
SIA,RJ,202501,2280167,0206030037,106.0,14694.78
SIA,RJ,202501,2273276,0206030029,113.0,9802.75
SIA,RJ,202501,9792961,0206030037,43.0,5961.09
SIA,RJ,202501,2296527,0211020036,195.0,1004.25
SIA,RJ,202501,3348431,0206020031,29.0,3955.89
SIA,RJ,202501,2970627,0206020031,208.0,28373.28
SIA,RJ,202501,9715444,0211020036,83.0,427.45
SIA,RJ,202501,6029922,0211020036,72.0,370.8
SIA,RJ,202501,2280167,0211020036,193.0,993.95
SIA,RJ,202501,2970627,0206030037,186.0,25785.18
SIA,RJ,202501,2273489,0211020036,206.0,1060.9
